ディレクトリID,U1,U2,U3,U4,U5,genre
553537,CD・DVD,Blu-ray,スポーツ,格闘技・武道,,CD・DVD > Blu-ray > スポーツ > 格闘技・武道
553542,CD・DVD,Blu-ray,スポーツ,自転車,,CD・DVD > Blu-ray > スポーツ > 自転車
553548,CD・DVD,Blu-ray,スポーツ,野球,,CD・DVD > Blu-ray > スポーツ > 野球
505047,CD・DVD,Blu-ray,その他,,,CD・DVD > Blu-ray > その他
553633,CD・DVD,Blu-ray,ミュージック,イージーリスニング・ヒーリング,,CD・DVD > Blu-ray > ミュージック > イージーリスニング・ヒーリング
553632,CD・DVD,Blu-ray,ミュージック,インストゥルメンタル,,CD・DVD > Blu-ray > ミュージック > インストゥルメンタル
553618,CD・DVD,Blu-ray,ミュージック,カラオケ,,CD・DVD > Blu-ray > ミュージック > カラオケ
553630,CD・DVD,Blu-ray,ミュージック,クラシック,,CD・DVD > Blu-ray > ミュージック > クラシック
505042,CD・DVD,Blu-ray,ミュージック,その他,,CD・DVD > Blu-ray > ミュージック > その他
562680,CD・DVD,Blu-ray,ミュージック,韓国（K-POP）・アジア,,CD・DVD > Blu-ray > ミュージック > 韓国（K-POP）・アジア
553607,CD・DVD,Blu-ray,ミュージック,邦楽,R&B・ディスコ,CD・DVD > Blu-ray > ミュージック > 邦楽 > R&B・ディスコ
553606,CD・DVD,Blu-ray,ミュージック,邦楽,インディーズ,CD・DVD > Blu-ray > ミュージック > 邦楽 > インディーズ
553608,CD・DVD,Blu-ray,ミュージック,邦楽,ジャズ・ブルース,CD・DVD > Blu-ray > ミュージック > 邦楽 > ジャズ・ブルース
553620,CD・DVD,Blu-ray,ミュージック,邦楽,その他,CD・DVD > Blu-ray > ミュージック > 邦楽 > その他
553614,CD・DVD,Blu-ray,ミュージック,邦楽,テクノ・リミックス・ハウス,CD・DVD > Blu-ray > ミュージック > 邦楽 > テクノ・リミックス・ハウス
553605,CD・DVD,Blu-ray,ミュージック,邦楽,ヘビーメタル・ハードロック,CD・DVD > Blu-ray > ミュージック > 邦楽 > ヘビーメタル・ハードロック
553613,CD・DVD,Blu-ray,ミュージック,邦楽,ラップ・ヒップホップ,CD・DVD > Blu-ray > ミュージック > 邦楽 > ラップ・ヒップホップ
553604,CD・DVD,Blu-ray,ミュージック,邦楽,ロック・ポップス,CD・DVD > Blu-ray > ミュージック > 邦楽 > ロック・ポップス
553617,CD・DVD,Blu-ray,ミュージック,邦楽,演歌・歌謡曲,CD・DVD > Blu-ray > ミュージック > 邦楽 > 演歌・歌謡曲
553616,CD・DVD,Blu-ray,ミュージック,邦楽,童謡・民謡,CD・DVD > Blu-ray > ミュージック > 邦楽 > 童謡・民謡
553625,CD・DVD,Blu-ray,ミュージック,洋楽,R&B・ディスコ,CD・DVD > Blu-ray > ミュージック > 洋楽 > R&B・ディスコ
553624,CD・DVD,Blu-ray,ミュージック,洋楽,インディーズ,CD・DVD > Blu-ray > ミュージック > 洋楽 > インディーズ
553636,CD・DVD,Blu-ray,ミュージック,洋楽,ゴスペル,CD・DVD > Blu-ray > ミュージック > 洋楽 > ゴスペル
553626,CD・DVD,Blu-ray,ミュージック,洋楽,ジャズ・ブルース,CD・DVD > Blu-ray > ミュージック > 洋楽 > ジャズ・ブルース
553638,CD・DVD,Blu-ray,ミュージック,洋楽,その他,CD・DVD > Blu-ray > ミュージック > 洋楽 > その他
